bearing_id,a1_x_mean,a1_y_mean,a1_z_mean,a2_x_mean,a2_y_mean,a2_z_mean,rpm_mean,hz_mean,w_mean,status,a1_x_range,a1_y_range,a1_z_range,a2_x_range,a2_y_range,a2_z_range,w_range,a1_x_min,a1_y_min,a1_z_min,a2_x_min,a2_y_min,a2_z_min,a1_x_max,a1_y_max,a1_z_max,a2_x_max,a2_y_max,a2_z_max,w_max,a1_x_fft_mean,a1_y_fft_mean,a1_z_fft_mean,a2_x_fft_mean,a2_y_fft_mean,a2_z_fft_mean,a1_x_ff_range,a1_y_fft_range,a1_z_fft_range,a2_x_fft_range,a2_y_fft_range,a2_z_fft_range,a1_x_fft_min,a1_y_fft_min,a1_z_fft_min,a2_x_fft_min,a2_y_fft_min,a2_z_fft_min,a1_x_fft_max,a1_y_fft_max,a1_z_fft_max,a2_x_fft_max,a2_y_fft_max,a2_z_fft_max
11,-0.1338974131034651,-0.024574339363208776,-0.19487904178631896,0.2056276225929458,-0.004294570785363185,0.12851757371374328,1209.9764917655016,20.16627486275822,0.3611918873983018,0,12.024536832583637,11.450774003353917,16.325424401175567,14.915879762975639,19.79904791863395,16.740506998820344,1.8092271362690957,-6.716668370294353,-5.812266989256477,-8.080923548382485,-6.8887351056128665,-10.570080836231142,-7.417725151350574,5.307868462289284,5.63850701409744,8.244500852793083,8.027144657362772,9.228967082402807,9.322781847469772,1.8092285437702051,3.852342698423849,4.108435723190716,3.805145248723742,2.564834652410425,3.805145248723742,4.108435723190716,23.415443175280537,13.699595194737265,17.73739939917904,17.659932793770317,17.73739939917904,13.699595194737265,0.00015288086232984055,0.009703133768875978,0.007786059797340337,1.8538317885230526e-06,0.007786059797340337,0.009703133768875978,23.415596056142867,13.70929832850614,17.74518545897638,17.659934647602107,17.74518545897638,13.70929832850614
12,-0.1588788108873217,-0.016272680704763707,-0.18686638621713778,0.16186589144341296,-0.02702121281250517,0.10835771544438005,1069.448225131148,17.824137085521407,0.4879516884445681,0,14.237051609779162,15.425422830964699,15.077009594026974,22.27941534216597,29.6024599948515,21.42386312349025,1.9575338828650257,-7.871023906222433,-5.812266989256477,-7.792827823656121,-9.060034058450931,-10.37785707003117,-11.303914276076537,6.366027703556727,9.613155841708222,7.284181770370853,13.21938128371504,19.22460292482033,10.119948847413712,1.9575352903661352,4.094642514834946,4.408227172350571,4.228896754879905,2.9116538142240103,4.228896754879905,4.408227172350571,36.56058883576197,25.524594432004335,25.55587086341307,25.872001068563037,25.55587086341307,25.524594432004335,5.289519452475466e-05,0.01830098917352233,0.022452106747766484,3.275365754429327e-05,0.022452106747766484,0.01830098917352233,36.56064173095649,25.542895421177857,25.578322970160837,25.87203382222058,25.578322970160837,25.542895421177857
13,-0.16254815408571727,-0.023428262691087214,-0.17412923311821235,0.22414677788683374,-0.01301397926516506,0.14445851423335593,1055.9082204210665,17.598470340358162,0.5157405898537744,0,13.756070136475568,12.302484466413532,17.38177539183979,19.730499180138686,23.162963827139787,18.434486873700777,2.2934450854350805,-7.582435022240131,-4.865922030301474,-9.233306447289085,-8.58801254696477,-9.416738239029078,-8.812767401252172,6.173635114235438,7.436562436112057,8.148468944550704,11.142486633173917,13.74622558811071,9.621719472448603,2.29344649293619,3.6501940186868813,3.819479121513109,3.7163325906924762,2.5724398324960682,3.7163325906924762,3.819479121513109,30.369036838027714,21.622590249577858,22.456916630718343,26.105557437623773,22.456916630718343,21.622590249577858,0.0001533630126184793,0.01967228218781293,0.013958421842546408,2.059931207942789e-05,0.013958421842546408,0.01967228218781293,30.369190201040333,21.64226253176567,22.47087505256089,26.105578036935853,22.47087505256089,21.64226253176567
14,-0.1616044579281995,-0.024277935664273984,-0.18737571183087323,0.16303248130408518,-0.021277111696456456,0.10157596667001652,1154.2168300152698,19.23694716692358,0.5000953122016818,0,15.199014556385574,10.882967027981207,16.613520125902305,15.954327088246028,21.43294993133744,14.946881248946589,2.0082675685542757,-8.448201674186285,-5.433729005674547,-8.272987364867232,-7.455160919396713,-10.37785707003117,-6.819849901392524,6.7508128821992885,5.449238022306661,8.340532761035075,8.499166168849316,11.05509286130627,8.127031347554066,2.008268976055385,3.5325252825460516,3.661196492478221,3.6303202174528018,2.407769643281383,3.6303202174528018,3.661196492478221,23.639596609733527,16.88773641039034,17.647669394559554,15.126805913283274,17.647669394559554,16.88773641039034,3.6473926692259795e-06,0.013245354726710132,0.019106804805363708,1.6650686548436155e-06,0.019106804805363708,0.013245354726710132,23.639600257126197,16.90098176511705,17.666776199364918,15.12680757835193,17.666776199364918,16.90098176511705
15,-0.14949139589419475,-0.013631973413302708,-0.1650898991505261,0.2396060642164314,-0.003831761854284485,0.13593040249211452,1169.742237110882,19.49570395185143,0.4848921537305249,0,12.890303484529412,12.018580978726987,15.749232951722455,17.087178715813703,24.316306424341853,16.640861123827,1.620571531908799,-7.39004243291884,-5.339094509778794,-7.792827823656121,-7.738373826288629,-10.570080836231142,-8.214892151294114,5.500261051610573,6.679486468948193,7.956405128066334,9.348804889525075,13.74622558811071,8.425968972532889,1.6205729394099084,3.955781984147586,4.247108523560912,4.07685945607072,2.393257705252692,4.07685945607072,4.247108523560912,24.825431911586765,20.47192610696358,19.52754709850714,16.956809165268112,19.52754709850714,20.47192610696358,3.2364980147914224e-05,0.009155782753515241,0.021372419698671267,2.0892303091990527e-05,0.021372419698671267,0.009155782753515241,24.825464276566912,20.481081889717096,19.54891951820581,16.956830057571203,19.54891951820581,20.481081889717096
16,-0.13612113699336031,-0.02619939101431216,-0.1799622133813304,0.2569228214438149,0.05021034745864301,0.0951024509940428,1024.2812936170735,17.07135489362369,0.41389944765564507,0,12.794107189869147,9.3688150936535,15.077009594026974,15.482305576759485,18.453481555232294,15.94333999887641,1.6022771370086355,-6.81286466495499,-4.771287534406083,-7.792827823656121,-7.360756617099399,-9.801185771430143,-6.321620526427808,5.9812425249141565,4.597527559247418,7.284181770370853,8.121548959660085,8.65229578380215,9.621719472448603,1.602278544509745,3.127879525874125,3.5706393300084214,3.370930724252921,2.2128253967917737,3.370930724252921,3.5706393300084214,21.109713032577922,15.17331607195641,14.235444152280163,20.892544711551956,14.235444152280163,15.17331607195641,2.0289337314738365e-05,0.019044360110474397,0.02119744707027982,1.911140581123405e-05,0.02119744707027982,0.019044360110474397,21.109733321915236,15.192360432066884,14.256641599350443,20.89256382295777,14.256641599350443,15.192360432066884
17,-0.21780593204601947,-0.032009264799432745,-0.19202725931639267,-0.12737073179198555,-0.13378956448160856,0.24054833364482064,1224.823707427731,20.41372845712064,0.4760689452108445,0,22.509932950596628,17.50738174066511,17.86193493305091,23.317862667436717,32.581928370956646,32.68384699769675,1.584086590387735,-13.258016407219886,-7.51568791537496,-9.233306447289085,-10.759311499802829,-15.375674991239745,-15.28974927579583,9.25191654337674,9.991693825290149,8.628628485761825,12.558551167633889,17.206253379716905,17.39409772190092,1.5840879978888445,4.520633560925471,4.55819879736137,4.5625565651115245,3.1652533886636696,4.5625565651115245,4.55819879736137,40.137190726695586,23.04615258363589,28.420534436282328,31.867371057639357,28.420534436282328,23.04615258363589,4.59458642954047e-06,0.020663999158163377,0.004572181239094908,2.119382084653232e-05,0.004572181239094908,0.020663999158163377,40.137195321282015,23.066816582794054,28.425106617521422,31.867392251460203,28.425106617521422,23.066816582794054
18,-0.18531601258031397,-0.027829319741868724,-0.13828925649315418,0.01802792281422751,0.002260364369068146,0.05628598162080511,1042.523958005983,17.375399300100096,0.5295982450458766,0,15.776192324349426,12.491753458204307,17.28574348359741,20.58013790081482,15.666236945327498,16.242277623855237,2.3373032547828387,-8.736790558168211,-5.528363501569936,-9.809497896742188,-9.720864174532457,-6.821717395324997,-8.01560040130823,7.039401766181214,6.963389956634371,7.476245586855223,10.859273726282362,8.8445195500025,8.226677222547007,2.337304662283948,3.2655989373976806,4.328499084969791,3.181789427232645,3.013125262581468,3.181789427232645,4.328499084969791,18.57550770688907,19.607033283804448,16.53009199291007,27.088009623917827,16.53009199291007,19.607033283804448,8.310293362390198e-05,0.018393482424306815,0.014464261718053492,3.554369268249369e-05,0.014464261718053492,0.018393482424306815,18.575590809822693,19.625426766228756,16.544556254628123,27.08804516761051,16.544556254628123,19.625426766228756
19,-0.2007282081228319,-0.01689296783707747,-0.14271828448576854,-0.04434061319043778,-0.05492277520676766,0.116116656521289,1121.0284615937614,18.683807693236897,0.6764676597247191,0,20.2974181734011,17.980554220142796,18.053998749535648,27.09403475932901,25.277425255343566,28.199782623012737,2.4038693708987764,-10.564520156721157,-6.853246444106869,-8.657114997835974,-11.703354522775903,-9.22451447282873,-14.093998775880124,9.732898016679943,11.127307776035927,9.396883751699674,15.390680236553106,16.052910782514836,14.105783847132615,2.403870778399886,3.6271984584101276,4.218037301033735,4.220269703073926,3.639717454200476,4.220269703073926,4.218037301033735,31.932510663527392,23.968619383388646,28.2889492079345,34.044608792757295,28.2889492079345,23.968619383388646,1.1050782652843871e-06,0.013709929091981004,0.02344525842310232,4.896423145162032e-06,0.02344525842310232,0.013709929091981004,31.932511768605657,23.982329312480626,28.312394466357603,34.04461368918044,28.312394466357603,23.982329312480626
20,-0.6277202409252499,-1.3836249400034473,-0.41669481528131813,-0.33198606476151943,-2.1897180414032946,0.2438510744256219,1055.1256816054974,17.58542802675022,1.5363824552780916,0,30.590421702092435,29.242059231705923,29.673859646842473,26.149991736355933,32.77415213715699,43.84418499690992,3.1636166895050826,-15.951512657718238,-17.925482463878854,-16.339667657212647,-13.969057777911276,-18.73959089974558,-21.36814765036733,14.638909044374197,11.316576767827067,13.334191989629824,12.180933958444657,14.034561237411411,22.47603734654259,3.163618097006192,9.327894658609079,7.59282948720448,9.016803878253286,6.682526582537807,9.016803878253286,7.59282948720448,54.90428360075164,30.977786243440306,39.738917414122234,42.85726086422862,39.738917414122234,30.977786243440306,0.00029325582674699646,0.006857358019653381,0.011884442403661355,5.035633126301842e-06,0.011884442403661355,0.006857358019653381,54.90457685657839,30.98464360145996,39.7508018565259,42.857265899861744,39.7508018565259,30.98464360145996
